0.3, 0, 21
0, 0, 6.7
1.6, 0.2, 30.9
0.6, 0.4, 21.1
0, 0, 13.8
0.6, 0.2, 34.1
1.4, 0.1, 24.9
0, 0, 6
0.3, 0, 16.2
0.1, 0.8, 13.4
0.8, 0.1, 19.8
2.4, 0.1, 35.9
0.6, 0.2, 18.8
0.8, 1.1, 28.4
1, 0.1, 19.5
0, 2, 20.8
0.4, 0.6, 16.7
0.4, 0, 14.5
0, 0, 5.5
0.7, 0.1, 23
0.4, 0, 12.8
0.8, 0.2, 21.5
2, 0.5, 29.4
1.1, 0.1, 25.7
0.2, 1.7, 27.8
1.8, 0.1, 31
0.2, 0.2, 18.2
0, 1, 17.7
0.8, 0.8, 34.1
1.1, 0, 32.2
2, 0.4, 23.6
0.8, 0, 29.3
0.5, 0.5, 34.7
1.3, 0.5, 36.4
0.3, 0.7, 18.1
0, 0, 9.8
0.9, 0.1, 24.7
0.9, 1.1, 25.4
0.5, 0, 15.9
0.7, 0.1, 20.6
1.2, 0, 27.8
0, 0, 4.4
0, 0.7, 12.5
0.6, 1, 31.3
1.3, 0, 18.6
0, 0, 5.5
2.3, 1.5, 34.3
0.5, 0.1, 21.1
0.7, 0.2, 23.6
1.3, 1.3, 24.5
1.3, 0.2, 37.9
0.9, 0.7, 29.6
1.3, 1, 30.4
0, 1, 12.3
0.9, 0.3, 20.1
1.2, 0.4, 31.3
0.9, 0.1, 29.9
0.6, 0.3, 22.6
